번호,하위분류,제목,문의내용,답변부서,답변내용
366,안전관리계획서 사본 및  검토 결과 제출/종합보고서 제출  관련 문의,안전관리계획 검토 적정의견 통보까지 소요되는 시간이 궁금합니다,"안녕하세요. 저는 대구 달서구 더나은병원 주차타워화재 피해차량 차주 입니다.대구 달서구 더나은병원 주차타워 철거허가가 24.1.18.에 났습니다그러나, 대구 달서구청측에서는 국토안전관리원에서 안전관리계획에 대해 적정의견으로 통보를 먼저 받아야한다고 하네요그 통보가 우선되어야 달서구청에서는 최종승인을 한다고 하네요적정의견 통보까지 소요되는 시간이 얼마나 될까요달서구청에 민원접수한 답변서 첨부파일로 제출하니 참고해서 답변바랍니다",건설안전관리실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “안전관리계획서 검토기간”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. 안전관리계획서 처리기한은 「건설기술진흥법 시행령」제98조제3항에 따라 안전관리계획서의 검토기간은 법정기한은 20일 이내로 되어있습니다. 관리원은 기한내에 검토의견을 회신하고 있음을 알려드립니다.   나. 또한「건설기술진흥법 시행령」제98조제5항에 따라 안전관리계획서의 적정, 조건부 적정인 경우 발주청 또는 인허가기관의 장은 승인서를 보완이 필요한 사유를 포함해서 발급하도록 하고있으며, 해당 공사의 적정, 조건부 적정에 대한 공사 진행여부는 해당 현장의 인·허가기관에서 결정할 사항임을 알려드립니다. 4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 건설안전관리실(업무담당 정순호 ☏ 055-771-1444)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다.    감사합니다.                                                             "
367,건설안전종합정보망(CSI) 시스템 관련(시스템 장애 등) 문의,건설기술진흥법에 의한 종합보고서 제출 문의,"건설기술진흥법에 의해 작성한 종합보고서 제출 문의입니다.해당 현장은 1,2종 시설물은 없으며, 흙막이지보공 2회 점검실시하는 현장입니다.질문1. 해당 현장은 준공 시 종합보고서를 작성하여 제출해야 하나요질문2. 종합보고서 작성시 어디까지 제출해야 하나요  ex) 안전점검업체 - 시공사ex) 안전점검업체 - 시공사 - 발주처질문3. 종합보고서 작성 및 제출시 CSI에 등록을 해야하나요질문4. 종합보고서를 CSI에 등록해야한다면 주체는 누구인가요 시공사인지 발주처인지 궁금합니다.",건설안전관리실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “종합보고서 제출”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가.「건설기술진흥법」제62조제7항에 따라 안전관리계획을 수립하였던 건설공사를 준공하였을 때에는 종합보고서를 작성하여 발주청(발자가 발주청이 아닌경우에는 인,허가 기관의장을 말한다)에게 제출하여야 합니다.   나. 「건설공사 안전관리 업무수행 지침」제35조제3항에 따라 발주나(시설물안전접에 따른 1종 시설물 및 2종 시설물에 관한 건설공사의 발주자는 제외한다)는 필요시 관리원으로 하여금 종합보고서를 보존 및 관리하게 할 수 있습니다.    다. 위의 법령 및 지침에 의거하여 1,2종 시설물 뿐만 아니라 종외 시설물에 대해서도 안전관릭획을 수립하였다면 종합보고서를 작성하여 관리원에 제출할수 있습니다.    1) 1,2종 시설물에 대한 안전점검종합보고서 제출 : FMS    2) 종외 시설물에 대한 안전점검종합보고서 제출 : CSI(필요시 제출 가능)   라. 추가로 안전점검종합보고서에 대한 문의가 있을시 건설안전관리실 종합보고서 (업무담당 김재홍 ☏ 055-771-1430)으로 연락주시면 친절히 안내해드리겠습니다.    4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 건설안전관리실(업무담당 정순호 ☏ 055-771-1444)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다.    감사합니다.                                                             "
368,"건축물의 등의 안전점검, 정밀안전진단, 성능평가, 유지관리 관련 문의",정밀진단 정밀점검 상태평가,정밀안전진단시 안전성평가에서 D등급을 받은 건축물에 대해 보수보강을 하지않은상태에서 몇년후 정밀점검을 받은경우: 정밀점검시 상태평가만을 실시하므로 결과에따라 등급상향을 할수 있는지요,건축시설안전실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “건축물 종합평가등급”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. 정밀안전점검의 경우 안전성평가에 대한 결과가 제외되어 정밀안전진단의 평가등급과 상이할 수 있습니다.   나. 다만, 전차 정밀안전진단 등의 상태평가결과와 비교하여 현재 정밀안전점검의 평가등급이 적정한지 여부를 판단하여 주시기 바랍니다.   다. 아울러, 「시설물의 안전 및 유지관리 실시 등에 관한 지침」 제29조제2항에 따라 안전점검등의 실시결과가 이전 안전등급보다 상향하여 조정할 경우에는 그 사유를 명기하여야 하오니 참고하여 주시기 바랍니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 건축시설안전실(업무담당 최승민 ☏ 055-771-4788)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다.    감사합니다."
369,"(시설물 내진성능) 관련법령, 행정규칙, 하위규정 및 매뉴얼 관련 문의",내진성능평가 관련 문의 사항,"안녕하십니까. 기존시설물 내진성능평가요령 메뉴얼에 관해 질의 사항이 있어 문의드립니다.1번 질의 사항 제1장 총칙 1.1.3 평가보고서의 검증 및 전문가 검토 항목에 보면 ①시설물안전법에 따른 정밀안전진단에 포함하여 내진성능평가를 실시하는 경우 시설물안전법 및 하위규정에 따른 전문가 자문으로 실시할 수 있다. ②시설물안전법의 적용을 받지 않는 내진성능평가의 경우의 내진성능 평가과정과 내진성능 평가결과는 2인 이상의 내진공학 전문가로부터 검증받아야 한다.는 내용이 있습니다. 1종 시설물이나 의무적으로 정밀안전진단을 실시하여 시설물 안전법에 해당되는 건물 이외 2,3종에 해당되거나 시설물안전법의 적용을 받지않는 사기업의 건물의 경우 ②의 내용에 해당되는걸로 보입니다.  2인 이상의 내진공학 전문가의 검증은 3자 검증(peer review)을 의미하는건지요 만약 검증을 받지않는다면 어떤 법적인 문제가 있는지요사기업 건물에서 자체적으로 내진능력을 알고싶어 내진성능평가를 진행하는데 ② 조항을 꼭 따라야 하는지가 의아합니다. 기존시설물 내진성능평가 요령은 말그대로 메뉴얼이라 어떤 법적 구속력과 책임을 가지지는 않는걸로 알고있습니다. 그렇다면 2인이상의 검증을 받지 않고책임구조기술자의 판단으로 작성된 평가 보고서는 어떤 효력도 가지지 못하는건가요2번 질의사항학교시설 내진성능평가 및 보강 메뉴얼에는 중력하중조합에 대해 안전성을 확보해야 된다고 명기되어있습니다. (1장 일반사항 1.4.2 내진성능평가 주요 고려항목 (10)번).하여 통상적으로 구조안전성 검토 (중력방향하중에 대한 검토) 를 확인한후 내진성능평가를 수행하고 있습니다. 이때 육안으로 발견되는 결함없음, 실제하중크기, 사용하중 제한 등을 조건으로 하여 중력방향 하중조합을 1.0DL+0.25LL 로 검토 하여도 좋다는 교육시설재난공제회의 답변을 들은적 있습니다.기존시설물의 내진성능평가 또한 우선적으로 중력하중 조합에 대해 안전성이 확보 되어야 하는데 위와같은 하중조합을 적용하여 검토하여도 괜찮은지요",내진성능관리실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “관리원 평가요령에 따른 내진성능평가의 제 3자검증과 중력하중조합”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.가. 1번 질의답변)    기존 시설물(건축물)내진성능 평가요령(이하 평가요령) ‘1.1.3 평가 보고서의 검증 및 전문가 검토’에 따르면, 2인이상의내진공학 전문가로부터 검증은 질의하신 3자 검증(peer review)을 의미합니다.     또한 평가요령 1.1.3에 따르면, 시설물안전법의 적용을 받지 않는 내진성능평가의 경우 2인 이상의 내진공학 전문가로부터 검증받아야한다라고 기재되어있습니다. 다만, 평가요령은 실무자의 이해를 돕기 위한 참고도서로써 관계법상 구속력은 없으므로 제3자 검증은 의무사항이 아니며, 미수행에 대한 법적인 문제나 효력에는 문제가 없을 것으로 사료됩니다. 참고로 건축물내진설계기준(KDS 41 17 00) ‘15.7 성능기반설계 결과의 검증’에 해당될 경우에는 해당기준에 의거하여 반드시 수행해야 합니다.나. 2번 질의답변)    기존 시설물(건축물) 내진성능 평가요령(이하 평가요령)에는 질의하신 중력하중조합에 대한 안정성확보 사항은 명시하고 있지 않습니다. 다만,「시설물안전법」에 따라 실시하는 내진성능평가의 경우, 정밀안전진단을 통해 상시하중에 대한 안전성 확보 여부를 확인하여야 하며 이때, 시설물의 안전 및 유지관리 실시 세부지침 6.5 ‘안전성평가기준 및 방법’에서는 설계당시 기준에 의해 실시하도록 하고있습니다. 4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 내진성능관리실(업무담당 성현제 ☏ 055-771-1496)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다.    감사합니다."
370,비탈면(절토사면 포함) 유지관리 관련 문의,절토사면 및 옹벽 유지관리 질의,"1. 첨부파일의 시설물을 구분을 하고자 합니다.2.정확한 도면은 보유하고 있지 않으나 앵커식 옹벽으로 시공되어 있습니다.3. 이를 사면 보강공으로 보고 절토사면으로 점검을 수행하여야 하는지, 아니면 옹벽으로 보고 점검을 수행해야 하는지 궁금합니다.4. 현재 과업 발주는 옹벽으로 발주되어 있는 상태입니다.",시설성능관리실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “절토사면 및 옹벽 유지관리 질의”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.  가. 해당 옹벽은 제2종시설물((지면으로 노출된 높이가 5미터 이상인 부분의 합이 100미터 이상인 옹벽)에 해당하고, 관리주체가 발주한 과업(정밀점검 및 성능평가) 또한 옹벽으로 발주한 것을 유선으로 확인했습니다.       나. 시설물 종류에 대한 구분은 최종적으로 관리주체가 판단하며, “가”의 내용과 같이 관리주체가 옹벽시설로 관리한다고 판단했을 경우 해당 내용에 따라 과업을 수행하시기 바랍니다. 4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을 알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 시설성능관리실(업무담당 최호진 ☏ 055-771-8344)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다.    감사합니다."
371,안전관리계획서 작성 관련 문의,안전관리계획서의 최종 검토완료 전 설계변경,"당 현장은 민간시설로기존 건축물 연면적 12,000m2증축 건축물 연면적 19,000m2, 합계 연면적 31,000m2 로 2종 시설물이며,5m이상 동바리 및 거푸집공사가 해당하여 안전관리계획서 작성 대상 현장입니다.질문1. 이 때 연면적으로 1,2종 건축물 구분 시 (기존 건축물 연면적)+(증축 건축물 연면적)인지,(증축 건축물 연면적)인지 궁금합니다이 부분은 법령에 나와있지 않아 국토안전관리원의 해석을 부탁합니다.현재, 보안작성 진행중이며 잠시 발주처의 사정으로 공사가 중단되었으며, 중단기간 중 설계변경이 발생하였습니다.설계변경으로 (기존)12,000m2                     (증축)16,000m2, 합계연면적 28,000m2 로 1,2종 시설물은 아니지만5m이상 동바리 및 거푸집공사가 해당하며 안전관리계획서 작성 대상 현장입니다.1,2종 시설물이 아닌경우 안전진단기관에서 검토를 하는 것으로 알고 있는데,질문.2 이 때, 안전관리계획서의 검토기관을 변경해야 하는건지변경이 가능하다면 기존 보안작성중인 안전관리계획서의 처리는 어떻게 되는지검토기관의 변경이 불가능하다면, 설계변경을 반영하여 변경검토로 서류를 상신하면 되는지 궁금합니다.",건설안전관리실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “설계변경에 따른 안전관리계획서 작성여부”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가.「시설물의 안전 및 유지관리에 관한 특별법 시행령」[별표1]에 따라 시설물의 종류에 따라 1,2종 시설물을 구분하며 질의하신 시설물의 종류는 건축물로 사료됩니다. 건축물의 경우 기존+증축 건축물의 연면적이 3만제곱미터 이상인 경우 2종 시설물에 포함됩니다. ((예시)기존 종외 시설물 연면적 + 증축되는 연면적 = 3만제곱미터 이상)    나. 종외 시설물에서 2종 시설물로 되는경우 안전관리 계획서 검토기관은 안전진단 기관이 아닌 국토안전관리원에 검토 의뢰 하여야 합니다.   다. 기존 종외시설물에서 2종 시설물로 변경되었을경우「건설기술진흥법 시행령」제98조제4항에 따라 국토안전관리원에 신규 검토를 진행을 다시 진행 하여야 합니다.   라. 본 질의에 대한 내용이 명확하지 않아 유선 통화 후 추가 적인 설명을 드리고자 하였으나 연락처가 기재되어있지 않아 연락 드리지못한점 양해 부탁드리며 아래의 연락처로 연락주시면 친절히 안내해드리겠습니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 건설안전관리실(업무담당 정순호 ☏ 055-771-1444)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다.    감사합니다.                                                            "
372,진단장비 관련 문의,정기점검 장비 검교정 사항,건축물 관리점검 도중 장비를 사용해야하는 구조강화 점검시 검교정 여부를 알고싶어 문의드립니다.구조강화 점검시 슈미트해머나 트랜싯 그리고 거리측정기 같은 장비는 1년 내지는 2년마다 검교정을 받아야하는데그러한사항이 필수인지 혹시 필수라면 명시되어있는지 궁금합니다. 혹시 검교정 장비마다 교정시기가 다른데 이런사항도 안내받을수 있는지궁금합니다.문의사항1. 건축물 관리점검시에도 장비 검교정은 필수인가2. 필수라면 법조항이나 지침등에 명기되어있는곳 이있으면 안내3. 검교정 장비마다 검교정 기간 안내,운영지원실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “진단장비 검교정”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. (문의1) '시설물의 안전 및 유지관리 실시 등에 관한 지침' 제8조7항 안전점검등에 사용하는 장비는       '국가표준 기본법' 및 '계량에 관란 법률'에 의하여 검,교정을 받아야 한다고 명시되어 있고 예외조항은 따로 없으니      관련법을 따라 주시면 될것 같습니다.   나. (문의2) 문의1번의 법 조항을 참고하시면 됩니다.   다. (문의3) 검교정 기간은 한국인정기구의 '교정대상 및 주기설정을 위한 지침'의 교정주기를 참고하시면       도움이 될것 같습니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 운영지원실(업무담당 서원진 ☏ 055-771-4687)로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다.    감사합니다.                                                             "
373,"교량 등의 안전점검, 정밀안전진단, 성능평가, 유지관리 관련 문의","보도육교(환승통로, 기타시설물) 성능평가","철도시설별 세부기준 적용(안) : 철도건설법 세부지침 부존재에 따라 보도육교(환승통로)를 시설물안전법(이하:시안법) 세부지침 제 2종 성능평가를 적용하였습니다.1. 시안법 세부지침(성능평가) 안전성능평가의 경우 기본과업으로 상태안전성능평가와 구조안전성능평가를 실시하여야 하나 원구조계산서의 부재에 따라 해석이 불가능하여 구조안전성능평가를 제외함. 구조안전성능평가를 미실시 하는 경우 상태안전성능평가의 결과를 안전성능평가의 결과로 적용이 가능한지에 대한 여부2. 시안법 세부지침(성능평가)_교량에 사용성능평가의 경우 사용성(승차감), 유지관리성(점검시설), 수요 및 용량(통행량) 항목에 대한 평가를 실시하여야하나 보도육교(환승통로, 기타시설물)의 경우 평가가 가능한 항목이 없는점 사용성능평가의 결함지수를 제외하고 원가중치 비율을 고려하여 타 성능평가 항목에 배분이 가능한지의 대한 여부p.s : 보도육교는 성능평가 대상시설물이 아니기때문에 보도육교를 시안법(성능평가) 지침에 맞게 작성을 할 필요는        없으며,  관리주체와 협의만 된다면 문제 될 것이 없다라고 사전 질의 시 구두로 응답을 받았습니다.",시설안전평가실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “보도육교 성능평가”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. 「시설물의 안전 및 유지관리 실시 세부지침(성능평가 편)」‘3.8 성능평가 과업내용’에 따르면 구조안전성능평가는 기본과업에 포함되어 있습니다. 구조안전성능 검토를 위한 자료(구조계산서 및 구조안전성능 평가 자료 등)가 없거나, 부족한 경우, 이전 성능평가 결과보고서 및 설계도서, 외관조사 및 재료시험 결과 등을 검토하여 구조적인 취약부에 대한 구조·지반·수리·수문 해석 등의 구조안전성능 평가를 실시하여야 합니다.   나. 보도육교는 시설물안전법상 성능평가 대상에 포함되지 않지만 「철도시설의 정기점검등에 관한 지침」(이하 ‘지침’) 제14조에 따른 성능평가 대상에 포함되어 있습니다. 지침 제17조에 따라 보도육교 성능평가 실시방법을 참조하여 철도시설관리자와 협의 후 과업을 수행하시기 바라며, 실시방법 등에 관한 상세내용을 보고서에 기술하는 것이 적절할 것으로 판단됩니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 시설안전평가실(업무담당 박준형 ☏ 055-771-1650)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다.    감사합니다.                                                            "
374,안전관리계획서 작성 관련 문의,학교 컴퓨터 유지보수 업체 입니다. 안전관리계획서를 제출 하라는데 저희가 해야하는 항목인지요,"학교 컴퓨터 유지보수 업체 입니다. 안전관리계획서를 제출 하라는데 저희가 해야 하는 항목인지요어떤 형식으로 제출해야 하는지도 모르겠습니다.이번 년도에 처음 요청 받은 건데 교육을 갔더니 모든 업체 한데 다 받으라 했다는데..컴퓨터와 프린터 기기 같은 장비를 유지보수 하는 업체이구요학교와 년간 계약을 하며, 5인 미만 사업장 입니다.",건설안전관리실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “안전관리계획서 작성”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. 2024.03.05 오후 1시 40분경 유선상 통화를 진행하였으며 질의하여주신 안전관리계획서는 산업안전보건법상 작성하는 안전관리계획서로 사료되며 산업안전보건법상 안전관리계획서는 한국산업안전보건공단에 문의할것을 안내드렸습니다.  4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과다른 해석이 있을 수 있습니다.개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 건설안전관리실(업무담당 정순호 ☏ 055-771-1444)으로 문의하여 주시면 친절히 답변 드리겠습니다.끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을안내 드립니다.감사합니다."
375,채용문의,채용에 관하여 문의합니다,제가 토목분야로 지원하려는데 혹시 채용공고를 볼 수 있을까요,인사노무실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “신입직원 채용”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. 국토안전관리원의 과거 채용 공고 내용은 국토안전관리원 홈페이지(https://www.kalis.or.kr)의 '소식/참여 → 일자리정보 → 국토안전관리원 채용정보' 및 공공기관 알리오(alio.go.kr)를 통해 확인하실수 있습니다.   나. 2024년도 신입직원 채용의 경우 3월 중 공고를 예정하고 있음을 안내드립니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과다른 해석이 있을 수 있습니다.개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 인사노무실(업무담당 이갑민 ☏ 055-771-4790)으로 문의하여 주시면 친절히 답변 드리겠습니다.끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을안내 드립니다.감사합니다."
376,"댐, 하천, 항만 등의 안전점검, 정밀안전진단, 성능평가, 유지관리 관련 문의",항만시설물 재료시험,세부지침 항만편에서 정밀안전점검 재료시험 중 반발경도시험 기준 수량은 부재별 6회 이상 이라고 명시되어있습니다.  여기서 말하는 부재에 에이프론이 포함되는지 질의합니다.,시설성능관리실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “항만시설물 재료시험”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. 「시설물의 안전 및 유지관리 실시 세부지침(안전점검·진단 편)_항만편」 [표 3.2] ~ [표 3.4]에서 제시하는 현장조사 시 구분한 주요부재를 참고하여, [표 3.8]의 각 부재를 구분해야 할 것으로 사료됩니다.   나. 다만 「시설물의 안전 및 유지관리 실시 세부지침(안전점검·진단 편)_공통편」 ‘4.4.1 일반’에서 “지침 및 세부지침에서 제시되는 내용을 원칙으로 하되 시설물 특성 및 제반여건을 고려하여 적절히 응용할 수 있다.”라고 제시하고 있으며,   다. ‘4.1 일반’에서 “정밀안전점검 및 정밀안전진단을 실시함에 있어 시설물별로 필요한 재료시험의 최소 시험 항목과 기준수량은 (중략) 목적에 따라 이를 조정할 경우에는 실시결과 보고서에 그 사유를 명시하여야 한다.”에 따라 책임기술자의 판단으로 기준 수량을 조정하였을 경우 결과보고서에 해당 사유를 명시하여야 합니다.   라. 또한 [표 3.6]에 의하면 정밀안전점검의 재료시험은 ‘콘크리트 구조물’을 대상으로 수행하도록 제시하고 있습니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을 알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 시설성능관리실(업무담당 심규현 ☏ 055-771-8363)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다.    감사합니다.                                                             "
